URL,Kód odpovědi,Chyba související se Zprávami,Zjištěno,Kategorie,Platforma,Naposledy procházeno
http://activate.etnetera.cz/novinky/18839-activate_life_090421_co_je_vlastne_seo.html,404,,11.9.15,Nenalezeno,Počítač,11.9.15
http://activate.etnetera.cz/our-team/,404,,6.11.14,Nenalezeno,Počítač,19.8.15
http://activate.etnetera.cz/novinky/40737-activate_life_120601_adobe_dm_summit_2012_3.html,404,,11.9.15,Nenalezeno,Počítač,13.9.15
http://activate.etnetera.cz/novinky/40738-activate_life_120528_adobe_dm_summit_2012_2.html,404,,11.9.15,Nenalezeno,Počítač,13.9.15
http://activate.etnetera.cz/novinky/22031-activate_life_091124_klicove_ukazatele_uspesnosti_webu.html,404,,12.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/novinky/34006-activate_life_110927_gacp_summit_2011.html,404,,11.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/novinky/43863-activate_life_121217_od_cookies_k_webove_demografice.html,404,,11.9.15,Nenalezeno,Počítač,13.9.15
http://activate.etnetera.cz/novinky/nejprehlednejsi-nakupni-kosik-ma-datart.html,404,,7.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/novinky/pozadi-male-naborove-kampane.html,404,,9.9.15,Nenalezeno,Počítač,11.9.15
http://activate.etnetera.cz/novinky/ondrej-bartos-hledam-firmu-ktera-zmeni-svet.html,404,,6.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/member/jiri-stepan/,404,,7.9.15,Nenalezeno,Počítač,7.9.15
http://activate.etnetera.cz/novinky/21890-activate_life_091026_gaac_shrnuti.html,404,,11.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/49796-telefonica_o2/,404,,30.8.15,Nenalezeno,Počítač,30.8.15
http://activate.etnetera.cz/nas-tym/michal-kardas.html,404,,9.9.15,Nenalezeno,Počítač,9.9.15
http://activate.etnetera.cz/49778-e_consulting/,404,,16.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/nas-tym/pavel-tousek.html,404,,14.9.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/en/nas_tym/45999-jiri_stepan.html,404,,12.9.15,Nenalezeno,Počítač,12.9.15
